Distance,Press_time
[392.56],[545.0]
[178.09],[261.0]
[355.01],[489.0]
[612.61],[827.0]
[198.09],[287.0]
[626.75],[847.0]
[547.74],[747.0]
[532.74],[727.0]
[532.74],[729.0]
[565.79],[765.0]
[411.31],[566.0]
[545.77],[741.0]
[485.23],[666.0]
[440.39],[610.0]
[334.8],[464.0]
[306.5],[426.0]
[256.76],[362.0]
[608.4],[821.0]
[241.5],[346.0]
[272.37],[396.0]
[281.81],[382.0]
[493.22],[674.0]
[533.21],[740.0]
[305.63],[437.0]
[526.83],[720.0]
[667.13],[893.0]
[388.23],[552.0]
[375.1],[522.0]
[635.31],[871.0]
[441.27],[613.0]
[533.6],[717.0]
[584.21],[801.0]
[597.05],[807.0]
[616.46],[852.0]
[355.11],[512.0]
[499.12],[696.0]
[286.27],[403.0]
[507.19],[710.0]
[285.7],[416.0]
[396.63],[566.0]
[393.71],[532.0]
[394.06],[530.0]
[589.81],[805.0]
[592.02],[815.0]
[510.78],[710.0]
[613.62],[843.0]
[497.76],[685.0]
[350.77],[498.0]
[611.13],[842.0]
[554.46],[755.0]
[645.98],[871.0]
[670.41],[899.0]
[504.31],[699.0]
[373.18],[523.0]
[316.29],[440.0]
[495.52],[674.0]
[506.95],[696.0]
[610.63],[834.0]
[386.62],[543.0]
[355.74],[486.0]
[623.65],[837.0]
[495.89],[692.0]
[509.42],[701.0]
[316.3],[445.0]
[443.59],[611.0]
[538.71],[743.0]
[595.0],[807.0]
[426.06],[587.0]
[527.77],[710.0]
[577.88],[795.0]
[361.4],[513.0]
[651.35],[896.0]
[371.36],[517.0]
[551.42],[754.0]
[516.05],[710.0]
[586.94],[810.0]
[647.34],[882.0]
[677.86],[914.0]
[487.79],[670.0]
[593.61],[817.0]
[367.9],[504.0]
[505.82],[694.0]
[510.28],[710.0]
[394.32],[548.0]
[548.21],[748.0]
[591.41],[809.0]
[418.97],[581.0]
[697.51],[947.0]
[630.49],[850.0]
[622.29],[840.0]
[285.91],[398.0]
[547.33],[741.0]
[494.9],[681.0]
[351.64],[488.0]
[597.97],[805.0]
[564.12],[780.0]
[609.76],[837.0]
[414.04],[580.0]
[317.24],[455.0]
[188.66],[279.0]
[386.25],[540.0]
[331.19],[460.0]
[616.96],[835.0]
[243.31],[346.0]
[398.78],[541.0]
[274.75],[399.0]
[393.94],[554.0]
[392.5],[542.0]
[396.05],[553.0]
[259.49],[371.0]
[279.03],[398.0]
[591.91],[811.0]
[650.32],[884.0]
[482.13],[662.0]
[484.37],[663.0]
[364.17],[503.0]
[360.34],[496.0]
[581.61],[788.0]
[569.95],[776.0]
[540.94],[737.0]
[254.49],[363.0]
[228.97],[326.0]
[667.56],[905.0]
[531.37],[727.0]
[459.81],[634.0]
[575.4],[784.0]
[570.68],[777.0]
[488.27],[672.0]
[258.13],[368.0]
[590.04],[806.0]
[386.62],[536.0]
[363.44],[504.0]
[434.13],[593.0]
[435.99],[597.0]
[416.77],[576.0]
[456.22],[628.0]
[223.65],[323.0]
[678.72],[914.0]
[334.9],[468.0]
[456.95],[628.0]
[567.22],[768.0]
[680.09],[923.0]
[482.5],[667.0]
[616.46],[841.0]
[656.54],[890.0]
[633.2],[855.0]
[550.17],[749.0]
[348.54],[489.0]
[606.03],[823.0]
[557.79],[756.0]
[667.56],[900.0]
[383.82],[530.0]
[296.2],[417.0]
[591.32],[800.0]
[593.51],[807.0]
[624.02],[842.0]
[317.66],[443.0]
[296.71],[418.0]
[191.23],[278.0]
[453.48],[623.0]
[439.04],[603.0]
[468.89],[641.0]
[249.2],[354.0]
[608.17],[824.0]
[527.77],[720.0]
[287.14],[403.0]
[276.73],[389.0]
[481.49],[663.0]
[690.38],[934.0]
[658.27],[892.0]
[658.27],[890.0]
[251.1],[352.0]
[399.08],[557.0]
[654.55],[892.0]
[628.2],[851.0]
[573.05],[780.0]
[493.43],[675.0]
[388.99],[540.0]
[410.44],[567.0]
[277.32],[392.0]
[660.14],[893.0]
[597.24],[812.0]
[600.77],[818.0]
[560.46],[765.0]
[263.43],[378.0]
[671.95],[914.0]
[657.36],[892.0]
[571.18],[778.0]
[585.94],[794.0]
[487.4],[665.0]
[551.6],[749.0]
[254.67],[357.0]
[408.51],[559.0]
[621.42],[850.0]
[297.57],[421.0]
[497.51],[686.0]
[243.73],[347.0]
[612.5],[832.0]
[662.1],[901.0]
[164.48],[248.0]
[491.43],[671.0]
[542.53],[738.0]
[185.43],[269.0]
[604.3],[819.0]
[439.96],[602.0]
[576.66],[781.0]
[660.87],[894.0]
[332.05],[466.0]
[254.05],[358.0]
[742.97],[1003.0]
[568.08],[769.0]
[497.78],[678.0]
[215.45],[305.0]
[486.84],[665.0]
[626.75],[852.0]
[473.57],[652.0]
[647.84],[878.0]
[689.91],[928.0]
[284.04],[396.0]
[634.59],[863.0]
[279.55],[398.0]
[178.94],[261.0]
[284.18],[400.0]
[462.78],[637.0]
[258.66],[369.0]
[339.57],[471.0]
[637.55],[865.0]
[381.79],[529.0]
[257.26],[362.0]
[490.56],[676.0]
[343.14],[480.0]
[296.57],[416.0]
[358.97],[503.0]
[530.87],[723.0]
[547.37],[750.0]
[419.66],[579.0]
[468.82],[644.0]
[616.96],[834.0]
[556.92],[760.0]
[705.54],[958.0]
[133.6],[206.0]
[506.82],[691.0]
[473.32],[653.0]
[284.94],[402.0]
[641.64],[868.0]
[320.76],[451.0]
[176.23],[256.0]
[649.57],[879.0]
[200.83],[287.0]
[415.27],[572.0]
[655.04],[884.0]
[616.38],[837.0]
[654.62],[893.0]
[287.31],[409.0]
[549.01],[744.0]
[159.76],[241.0]
[619.19],[837.0]
[582.84],[793.0]
[540.93],[735.0]
[150.6],[223.0]
[447.02],[618.0]
[486.46],[669.0]
[617.82],[836.0]
[298.82],[415.0]
[615.46],[832.0]
[438.73],[598.0]
[226.88],[330.0]
[682.32],[926.0]
[171.47],[247.0]
[565.35],[772.0]
[580.19],[791.0]
[652.3],[887.0]
[601.34],[814.0]
[718.3],[973.0]
[458.56],[625.0]
[415.85],[572.0]
[688.15],[932.0]
[631.11],[862.0]
[532.74],[728.0]
[719.31],[969.0]
[669.79],[907.0]
